 (-5.630892119370401041e-05+2.187266014516353607e-03j)  (-1.084511095541529493e-05+9.842084255069495332e-05j)  (2.340416540391743353e-06+2.201466122642159547e-06j)
 (-9.603825164958835190e-05+3.901680931448936462e-03j)  (-1.319338189205154844e-05+1.231603906489908641e-04j)  (2.692830457817763429e-06+2.677767952263820916e-06j)
 (-1.386071206070482839e-04+5.947252735495567322e-03j)  (-1.594975183252245323e-05+1.416013808920979608e-04j)  (2.678014607226941904e-06+3.257942807977087796e-06j)
 (-1.771380309946835149e-04+8.202530443668365479e-03j)  (-1.897012552944943444e-05+1.505853957496583679e-04j)  (2.126493200194090605e-06+3.974365972680971535e-06j)
 (-2.010302152484655543e-04+1.049258038401603733e-02j)  (-2.245411596959456937e-05+1.451903022825717872e-04j)  (6.723253136442508548e-07+4.951469600200653415e-06j)
 (-1.914349384605884660e-04+1.251738220453262398e-02j)  (-2.661727485246956619e-05+1.136298757046461187e-04j)  (-2.424412014079280367e-06+6.372593634296209298e-06j)
 (-1.177409430965781212e-04+1.376795619726181065e-02j)  (-3.135081205982714756e-05+4.081478400621563332e-05j)  (-7.957023626659065485e-06+8.316957246279344979e-06j)
 (6.952691473998129639e-05+1.341665536165237427e-02j)  (-3.769603208638727800e-05-1.030952087603509535e-04j)  (-1.776666904333978824e-05+1.112365935114212402e-05j)
 (4.208746831864118576e-04+1.057900115847587585e-02j)  (-4.390721442177892138e-05-2.894268836826086044e-04j)  (-2.984438033308834109e-05+1.403891219524666769e-05j)
 (7.325820159167056303e-04+7.369058579206469624e-03j)  (-4.713721282314516743e-05-2.894268836826086044e-04j)  (-2.984438033308834109e-05+1.403891219524666769e-05j)
