 (-7.112345099449158062e-03+4.756548907607794242e-04j)  (2.391931047895923257e-06+2.223478513769805499e-05j)  (3.164973575621843446e-04+6.341318949125707421e-05j)
 (-1.260448545217514142e-02+8.672737516462803754e-04j)  (2.908440546889323911e-06+2.884199493564665385e-05j)  (3.918678499758243778e-04+7.711773505434394425e-05j)
 (-1.907498836517334054e-02+1.355633884668350263e-03j)  (3.514598938636482101e-06+3.502444596961140768e-05j)  (4.439859651029110389e-04+9.380329283885658058e-05j)
 (-2.608312964439392367e-02+1.931939646601677071e-03j)  (4.178683229838497767e-06+4.056597244925797528e-05j)  (4.623122047632932771e-04+1.143977977335453142e-04j)
 (-3.300408422946930070e-02+2.588097378611564983e-03j)  (4.944539978168904951e-06+4.565308045130223442e-05j)  (4.297588486224413352e-04+1.424737041816115434e-04j)
 (-3.879274427890777588e-02+3.315921127796173269e-03j)  (5.859497832716442645e-06+5.012885085307062214e-05j)  (3.074646228924393654e-04+1.832921756431460435e-04j)
 (-4.174808263778687079e-02+4.099416732788086111e-03j)  (6.899585423525423150e-06+5.327465478330851143e-05j)  (5.001412937417626787e-05+2.391198882833123424e-04j)
 (-3.919381797313690324e-02+4.918326064944267620e-03j)  (8.293514110846445981e-06+5.509920301847160405e-05j)  (-4.344646353274584142e-04+3.196809906512499181e-04j)
 (-2.842236161231994837e-02+5.750995501875877727e-03j)  (9.657701593823731962e-06+5.579403368756175448e-05j)  (-1.040333230048418088e-03+4.033280536532402147e-04j)
 (-1.706898659467697907e-02+6.275610625743869089e-03j)  (1.036696266965010289e-05+5.579403368756175448e-05j)  (-1.040333230048418088e-03+4.033280536532402147e-04j)
