Version ID : 12.8.23-138-g12c0bdd-dirty
________________________________________________________________________________________________________________________________________________________________________
Structure inertia
________________________________________________________________________________________________________________________________________________________________________
Time : 13:28:48
Date : 21:03.2023
________________________________________________________________________________________________________________________________________________________________________
Body name                 mass  cog_global_x  cog_global_y  cog_global_z   cog_local_x   cog_local_y   cog_local_z
________________________________________________________________________________________________________________________________________________________________________
|   0.0000E+00  0.3057E+07  0.0000E+00  0.1584E+09 -0.1790E-11  0.1019E-09 |
|   0.0000E+00  0.0000E+00  0.3057E+07 -0.6731E+07 -0.1019E-09 -0.1607E-11 |
|   0.4832E-12  0.1584E+09 -0.6731E+07  0.2812E+11  0.2328E-08 -0.1304E-07 |
|  -0.1584E+09 -0.1790E-11 -0.1019E-09  0.2328E-08  0.2823E+11 -0.9885E+09 |
|   0.6731E+07  0.1019E-09 -0.1607E-11  0.9313E-08 -0.9885E+09  0.2900E+09 |
COG: (   0.3332E-16 -0.2202E+01 -0.5180E+02 )
________________________________________________________________________________________________________________________________________________________________________
MASS MATRIX REFERRED TO COG
|   0.3057E+07  0.0000E+00  0.0000E+00  0.4832E-12 -0.5076E-07  0.2365E-08 |
|   0.0000E+00  0.3057E+07  0.0000E+00  0.5076E-07 -0.1790E-11  0.1019E-09 |
|   0.0000E+00  0.0000E+00  0.3057E+07 -0.2365E-08 -0.1019E-09 -0.1607E-11 |
|   0.4832E-12  0.5076E-07 -0.2365E-08  0.1990E+11 -0.4657E-09  0.2794E-07 |
|  -0.5076E-07 -0.1790E-11 -0.1019E-09  0.4657E-09  0.2002E+11 -0.6398E+09 |
|   0.2365E-08  0.1019E-09 -0.1607E-11  0.1304E-07 -0.6398E+09  0.2751E+09 |
COG: (   0.3332E-16 -0.7734E-15 -0.1660E-13 )
________________________________________________________________________________________________________________________________________________________________________
Hydro added mass (lateral) - if defined
monopile          0.6038E+07
